Commodity,January,February,March,April,May,June,July,August,September,October,November,December,Standard_dev
Male Goat,5007.67,0.0,13375.0,3300.0,0.0,3550.0,0.0,0.0,0.0,184.0,4180.5,2725.5,3876.92
Jaggery,21550.94,19858.37,15530.68,13916.71,11805.97,11204.33,9515.28,11104.96,10539.17,14280.05,12586.11,18087.33,3875.86
Split Gram,9434.5,9646.75,15021.0,18455.0,17907.33,13131.33,8609.25,16015.0,11553.6,15013.67,6796.0,10582.25,3808.17
Mosambi,5602.8,6987.1,6802.7,6091.96,4234.95,4152.17,4060.62,7383.0,15939.49,13882.39,8749.5,8073.4,3736.46
Banana,6178.35,7233.22,12840.81,10252.74,11524.5,9033.85,4945.92,5228.32,3850.62,5567.25,13314.65,7069.76,3234.35
Rice(Paddyhus),23821.61,26660.04,23709.83,27021.63,28266.14,27172.67,32570.56,31755.82,30380.59,31755.97,28595.41,27384.67,2924.48
Spilt Gerrn Gram,14015.0,12214.75,17864.33,19921.33,14645.0,18081.33,14546.33,20813.67,14026.8,18384.5,13088.5,18694.33,2897.51
Maize,5829.67,3494.4,2834.12,3784.72,3929.53,1026.24,477.11,436.23,325.11,4887.02,8860.42,7434.03,2809.89
Split Lentil,11501.25,10066.5,15162.33,18310.33,14007.33,11625.33,13171.33,13290.33,10403.4,9462.5,10723.0,15202.0,2615.46
Potato,26212.31,24032.05,30361.29,28334.98,29623.08,30904.5,27041.67,32337.47,31146.47,31250.69,27285.44,30631.98,2502.72
French Bean,62.25,439.5,1763.0,8750.0,1545.0,860.0,1275.33,990.5,907.0,373.33,503.33,17.5,2361.34
Cashewnuts,4307.0,3122.5,3013.5,4369.0,4013.0,3829.0,5268.5,4428.0,10935.33,7356.33,3522.33,5773.0,2229.05
Greenpeas,7010.69,8112.39,4053.0,3511.24,3190.27,3132.43,2526.56,4810.9,2789.03,1733.35,2482.12,6643.37,2045.36
Sugarcane,2725.0,1377.0,3205.0,1331.5,5700.0,5387.0,1962.0,700.0,0.0,34.0,97.5,3201.0,1962.06
Pigeon Pea (Tur),6647.47,5582.16,3254.77,3397.61,2643.99,2243.32,1021.04,994.39,1026.22,676.34,467.41,2356.64,1960.03
Cummin,8137.5,7103.5,10487.5,10234.0,7279.0,5643.5,6629.0,4673.5,7509.33,5613.67,5779.33,8940.0,1845.78
Split Black Gram,8675.5,7666.75,11996.67,12847.67,8273.33,9148.33,9155.67,10520.0,7802.4,10357.83,11306.0,9940.25,1657.12
Pineapple,8455.88,7141.1,5344.38,6414.0,5747.33,7466.56,5612.5,4206.38,4346.0,7407.36,8505.0,9131.0,1631.24
Pomegranate,7130.3,8313.58,8446.13,9471.11,7975.59,7111.48,9787.76,12273.23,10074.79,7491.16,7278.05,8965.35,1528.96
Gram,1156.63,3321.56,4590.12,3371.11,2049.56,1073.46,392.33,343.11,479.11,617.03,563.67,487.23,1453.61
Fennel,2130.5,4470.5,4691.5,3679.5,2987.5,1271.0,1162.5,1876.5,1509.0,4382.67,1443.33,2076.5,1339.13
Grapes,2578.0,3890.0,2892.12,1504.6,792.55,556.0,360.67,202.67,263.43,354.57,529.38,1054.13,1221.25
Ground Nut Pods (Dry),231.39,234.5,102.78,1037.75,4158.91,2520.33,613.55,317.97,421.71,665.8,908.74,407.45,1193.98
Neemseed,0.0,0.0,0.0,0.0,0.0,1196.38,3986.54,1461.89,810.33,0.0,0.0,0.0,1186.51
Chino,68.5,1300.5,4202.0,1454.67,1012.67,412.5,175.0,17.0,465.0,213.0,27.0,193.5,1183.55
Other Cereals,194.5,462.25,4210.25,1616.67,400.5,203.0,333.17,286.29,323.5,270.4,172.0,224.0,1165.45
Garlic,3016.9,5418.5,5918.02,4611.26,3561.51,2726.65,2177.98,2852.45,3096.7,3012.19,2962.84,2944.55,1158.17
Chillies(Red),3628.38,4149.35,4909.15,3403.02,2795.56,1678.73,1439.5,1302.85,1422.46,2615.66,2891.72,3134.69,1156.66
Farshi,168.33,117.25,120.5,324.0,4182.33,237.5,399.43,988.86,475.62,394.43,583.29,150.75,1130.86
Betelnuts,1704.67,3269.67,3880.33,1009.67,858.67,480.0,641.0,407.5,608.33,590.67,1317.0,1081.5,1124.45
Jack Fruit,2667.5,2432.5,1462.5,1535.2,1445.2,2201.0,3440.0,1280.0,0.0,0.0,1375.0,3005.0,1072.31
Carrot,4351.36,3969.42,3219.21,1994.19,2168.77,1877.0,2020.57,1952.97,1757.88,1993.29,2254.21,4153.28,988.28
Bor,2188.24,369.89,44.69,0.0,0.0,7.0,0.0,1419.5,140.0,357.08,1569.47,2734.67,978.53
Wheat(Husked),754.37,1076.16,3777.91,3312.52,2265.12,1615.09,1073.73,1110.27,1448.47,1562.82,940.45,929.06,976.89
Pitch,0.0,0.0,0.0,0.0,560.0,1055.0,3276.0,0.0,0.0,0.0,0.0,0.0,961.31
Mango(Raw),21.0,144.33,1055.77,2422.67,2390.86,1711.09,903.47,181.0,18.5,50.5,99.0,16.0,940.98
Maize(Corn.),299.5,319.83,114.12,87.5,60.17,169.62,1921.67,2322.44,2498.5,212.5,192.58,417.33,936.36
Papai,5502.18,4523.64,3907.88,3215.62,2784.55,5807.41,4890.83,3569.59,4118.53,3966.97,4161.71,5142.83,912.02
Wheat(Unhusked),929.44,2890.75,2013.54,1407.07,1724.15,1353.08,2799.8,2084.82,686.29,801.6,357.38,174.14,894.34
Shahale ,1155.5,1215.0,1285.0,1240.0,2390.0,2040.0,1250.0,2190.0,3660.0,2440.0,430.0,1623.5,849.35
Sunflower,293.33,252.08,206.29,2864.24,1418.68,107.69,46.1,12.94,242.11,123.62,297.11,1019.92,835.34
Arvi,743.33,546.75,806.5,777.25,986.6,3169.25,2461.0,1593.25,2155.67,1995.67,1396.33,1015.25,818.96
Harbara(Bhaji),2776.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,25.0,1.0,13.0,0.0,799.79
Gr.Nut Kernels,498.2,659.5,523.5,670.0,803.5,539.43,759.43,680.43,1644.92,3108.62,723.78,621.67,747.54
Elephant Root,4931.33,6083.0,5258.0,4984.2,4097.0,3870.83,5274.17,6349.0,5062.0,5069.82,4663.36,5874.83,733.94
Other Vegetables,1633.25,1977.33,1025.83,1833.2,1732.83,1784.0,1837.0,1721.29,1900.0,3346.0,3449.57,1391.17,714.55
Kanda Pat,1775.93,1402.15,1423.4,948.0,446.6,1073.11,717.56,1802.93,1866.29,2568.93,2326.21,2436.2,685.99
Shahale,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2258.0,0.0,651.83
Oth.Split Pulses,0.0,662.0,2173.0,703.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,647.42
Parwar,48.5,12.0,84.67,542.17,945.0,1665.43,1703.0,1126.6,1031.29,1481.43,1377.57,339.83,637.56
Lemon,1542.48,667.67,1078.7,474.84,579.97,635.06,2178.87,1913.3,958.98,1404.72,1059.6,1908.34,582.57
Black Gram,108.97,81.53,72.09,44.39,88.01,92.73,33.0,365.8,1717.59,1426.27,664.77,198.83,575.79
Cowpea,1017.06,1049.2,1954.27,2604.0,708.19,722.42,1117.95,1371.12,782.28,937.53,1010.07,1460.2,559.23
Fenugreek,1062.0,623.33,1716.5,1143.67,2098.5,905.75,418.0,386.67,462.67,663.0,441.25,843.67,541.22
Green Peas (Dry),2326.32,2221.26,2309.18,3562.68,3143.8,3259.33,3328.81,3466.31,2170.12,3399.5,3155.55,2689.25,535.86
Sorgum(Jawar),1094.43,2078.14,2321.79,1833.27,1527.85,1187.92,640.62,837.14,1007.48,1700.51,1906.86,1357.22,522.97
Spinach,964.04,1245.89,1066.38,886.35,2341.48,1017.63,1094.34,1595.4,1623.6,903.47,2107.69,1739.29,491.92
Lentil,1138.12,355.78,278.45,347.62,220.18,316.45,401.86,1908.6,518.64,827.0,424.82,469.89,486.03
Sweet Potato,1649.08,1587.29,2142.09,1444.2,1430.75,1232.8,754.0,959.8,1289.96,2411.96,1287.83,1783.0,464.23
Wal Papdi,1327.25,1277.8,850.2,383.67,550.67,168.0,646.78,1068.33,1128.62,644.38,1413.55,1650.7,455.43
Mula Shenga,59.0,44.2,20.0,0.0,0.0,0.0,5.0,23.0,1569.0,21.67,70.75,57.33,445.74
Squash Gourd,1780.07,1518.27,1567.0,1951.0,1450.94,1198.59,1464.26,1652.28,2287.61,1609.39,1873.64,2773.38,424.61
Chikoo,1808.69,1579.62,1739.81,1401.75,1063.47,668.96,438.76,1029.68,1251.67,1081.91,1028.97,1542.23,417.16
Green Chilli,3691.57,3933.11,3557.7,3260.02,2967.23,3728.44,2770.5,2837.03,2928.3,3011.6,2753.93,3414.54,415.32
Shevga,1278.3,1491.13,1485.97,1351.27,883.14,770.48,1449.69,2181.86,1904.3,1379.18,1099.29,901.47,412.46
Green Gram,82.44,254.5,92.6,59.1,166.47,154.51,80.42,375.16,1417.25,877.22,307.61,200.41,406.37
Ladies Finger,1488.78,2335.79,2417.23,2182.82,1633.97,1509.18,1459.11,1699.8,1501.93,1595.59,1132.38,1412.5,398.87
Chavli (Pala),38.5,40.5,397.86,1074.0,1038.55,1217.33,785.4,412.2,466.92,468.0,465.59,243.11,392.21
Zendu,27.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,527.0,1291.55,174.0,8.0,385.22
Small Gourd,986.29,1536.91,1610.38,1716.94,1803.88,1236.76,924.73,798.67,1089.57,1796.76,853.87,1042.79,384.66
Hempseed,3.0,2.0,0.0,0.0,0.0,1250.5,249.33,3.0,1.0,2.0,0.0,9.0,361.0
Strawberi,1065.0,787.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,24.0,315.0,360.44
Ghevda Seed,57.67,84.75,44.67,33.0,13.25,33.83,39.5,21.4,932.5,1015.38,150.55,66.29,360.14
Dhemse,68.0,54.75,410.0,1142.3,1129.8,938.0,571.75,518.08,483.67,641.67,600.64,309.0,357.22
Tamarind,472.77,540.27,948.91,1274.91,462.78,322.75,204.08,391.0,726.78,646.75,800.75,1269.4,348.76
Litchi,0.0,0.0,0.0,0.0,1195.0,117.0,0.0,0.0,0.0,0.0,0.0,0.0,343.55
Curry Leaves,2181.6,1362.14,1453.25,1857.67,1515.14,1529.0,1667.0,1167.78,1365.58,1986.22,1586.6,2255.83,340.67
Tandulja,0.0,0.0,0.0,5.0,19.0,840.0,263.0,0.0,25.0,203.0,444.5,835.0,320.99
Cabbage,2907.77,2556.89,3032.67,2627.76,3039.47,3158.28,2817.76,3684.69,3409.57,3070.96,2977.21,3292.98,316.89
Goosefoot,705.33,7.5,5.0,63.67,918.0,289.5,515.0,8.5,69.25,20.0,508.0,123.0,316.37
Kharbuj,60.67,271.14,780.78,827.64,251.3,139.89,55.0,0.0,17.33,75.5,138.0,625.25,301.12
Coriander (Dry),502.27,1105.78,1219.0,1014.21,825.17,682.32,738.71,453.35,473.89,464.7,583.78,993.86,273.12
Bullack,169.0,122.0,0.0,221.0,850.0,713.0,0.0,180.0,89.0,97.0,39.0,251.0,272.34
Walvad,212.0,133.07,102.92,97.67,286.5,20.86,121.0,1048.08,124.07,183.29,335.21,157.29,269.83
Raddish,852.4,1244.54,1053.27,1025.08,781.18,618.91,269.27,1042.0,1112.45,1099.0,919.17,824.14,263.19
Leafy Vegetable,900.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,1.0,5.0,2.0,0.0,259.54
Capsicum,1807.86,1732.54,1722.4,1639.02,1437.94,1311.73,1333.45,1622.32,2156.06,1792.63,1669.85,2057.58,256.01
Ginger (Fresh),1994.18,1833.05,1972.43,2103.76,2689.56,2264.02,1727.67,1966.11,1831.61,2080.02,2216.35,2201.44,255.4
Other Pulses,3.2,54.4,682.83,662.5,176.57,38.86,40.25,26.67,10.71,13.71,10.71,18.5,250.8
Bajri,467.88,433.65,319.38,583.01,981.1,518.59,331.16,468.91,653.88,1125.19,775.78,735.6,250.52
Ghevda,584.32,734.0,574.09,486.9,331.93,471.16,378.5,811.79,1033.05,502.87,1128.21,697.23,247.85
Wal Bhaji,658.38,688.0,356.0,63.67,11.6,62.0,255.0,469.75,243.4,308.25,570.88,666.8,247.25
Tamarind Seed,6.0,90.71,840.33,245.3,353.88,203.4,57.4,8.0,2.0,0.0,0.0,0.0,247.25
Cucumber,1781.12,1505.18,1871.84,2056.24,1801.19,2277.31,1687.64,1599.42,1620.37,1645.61,1419.62,1972.48,244.65
Cluster Bean,217.71,412.71,568.95,570.5,634.93,671.45,936.53,948.69,480.75,369.68,335.68,228.19,241.77
Radish,400.0,350.0,0.0,0.0,350.0,0.0,0.0,0.0,0.0,0.0,700.0,0.0,238.37
Goats,12.0,25.5,15.0,354.0,0.0,720.0,0.0,0.0,30.0,6.0,5.0,0.0,219.94
Beet Root,703.62,571.72,642.73,813.77,780.0,622.56,1271.0,1084.56,559.29,689.33,552.96,743.45,219.26
Custard Apple,32.71,24.5,1.0,0.0,0.0,55.67,237.62,557.31,495.0,469.33,391.63,163.35,218.65
Cardamom,897.0,608.5,353.0,335.0,345.0,244.0,621.0,263.5,326.0,716.33,530.67,736.0,215.75
Fodder,668.0,738.0,790.0,818.0,892.0,964.0,635.0,432.5,567.33,362.67,370.67,898.5,208.96
Guava,393.78,309.09,227.82,172.67,83.86,72.25,173.08,534.13,514.68,366.86,511.46,506.68,173.7
Pumpkin,637.44,871.43,879.22,1189.5,1188.44,788.0,913.21,799.08,696.55,898.06,788.77,878.71,167.38
Thymol/Lovage,464.14,423.86,181.57,233.0,254.5,102.17,48.6,34.75,42.67,17.0,16.0,363.33,164.84
Ghosali(Bhaji),390.15,92.67,229.0,306.13,548.76,708.05,212.58,311.0,267.38,360.86,260.27,293.86,161.43
Snake Gourd,741.0,1060.14,849.0,743.5,1039.6,728.36,613.07,546.31,842.0,901.5,937.0,899.57,157.19
Punvad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,265.0,472.0,0.0,150.07
Bitter Gourd,531.63,577.98,630.25,760.64,960.0,897.43,730.8,854.94,897.21,653.87,757.04,637.95,138.65
Male Lamb,98.5,29.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,456.5,0.0,131.06
Nigerseed,118.0,2.0,125.0,0.0,0.0,1.0,2.0,1.0,0.0,3.25,445.5,3.0,130.43
Amba Koy,0.0,0.0,0.0,0.0,90.0,435.0,160.0,0.0,0.0,0.0,0.0,0.0,129.27
Ridge Gourd,453.39,607.47,533.89,606.2,443.7,395.38,694.45,771.26,591.77,390.09,420.39,391.08,128.95
Mustard,416.4,16.22,18.04,20.04,12.54,145.12,6.33,4.73,170.16,185.21,198.92,2.44,127.66
Hemp,69.5,5.5,7.0,15.0,424.33,24.0,92.0,15.5,225.4,23.33,18.0,126.67,124.67
Pavtta,360.06,200.06,119.69,35.58,10.7,40.82,278.53,282.79,278.72,174.04,247.35,342.4,121.59
Chavli (Shenga ),346.84,643.47,322.72,470.4,311.38,313.48,381.93,416.84,336.81,314.38,310.62,133.45,120.11
Sheep,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,400.0,0.0,115.14
Gulchadi,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,389.0,3.0,0.0,3.0,111.83
Rajgira,13.0,8.67,9.0,354.4,20.33,52.33,70.0,29.33,152.29,240.2,147.25,15.6,110.59
Fig,339.5,84.0,131.5,97.0,20.67,57.0,14.0,0.0,10.0,7.0,93.67,260.0,107.0
Harbara(Pendi),362.4,49.0,6.5,0.0,0.0,0.0,0.0,5.0,16.5,56.33,60.0,141.0,104.57
Jambhul,0.0,0.0,0.0,0.0,5.0,360.07,86.5,0.0,0.0,0.0,0.0,0.0,104.52
Bottle Gourd,1036.21,902.1,967.45,1235.9,1049.54,1052.76,1157.0,1016.06,870.99,1061.31,1026.6,1018.26,98.28
Nolkol,21.0,331.67,71.0,2.0,0.0,2.0,1.0,70.0,6.0,4.5,4.0,9.0,94.3
Maize (Corn.),0.0,0.0,0.0,0.0,0.0,0.0,0.0,307.0,0.0,0.0,0.0,0.0,88.62
Brinjal,1343.67,1299.07,1078.1,1212.87,1284.68,1263.54,1342.73,1240.6,1416.91,1215.31,1357.44,1255.86,87.79
Lang,22.0,117.0,190.0,243.0,75.0,41.5,6.0,1.0,17.0,14.0,6.5,23.0,79.85
Buffalo,184.0,38.0,21.0,112.0,0.0,42.0,21.0,242.0,54.0,106.0,91.0,150.5,74.0
Cow,6.5,3.0,0.0,0.0,0.0,257.0,0.0,3.0,5.0,3.0,0.0,0.0,73.69
Double Bee,148.0,206.33,64.33,11.5,0.0,0.0,1.0,0.0,3.0,10.33,71.5,77.0,67.82
Guvar,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.0,201.0,0.0,62.52
Naspatti ,0.0,0.0,0.0,0.0,0.0,0.0,180.25,135.5,58.0,1.0,0.0,0.0,62.17
Sarsav,3.0,6.5,102.0,199.5,85.5,50.0,11.0,6.5,30.0,29.5,10.5,0.0,59.04
Banana(Raw),2.0,40.0,82.0,190.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,56.71
Bijli,21.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,183.0,0.0,0.0,0.0,52.54
Kardai,9.0,24.33,13.0,34.67,114.33,111.0,117.0,25.5,16.67,79.5,28.0,31.5,42.32
Pavata,199.25,110.0,94.0,76.5,39.33,65.75,118.67,115.0,103.14,63.0,66.0,63.0,41.83
Batbati,51.33,128.0,96.5,43.67,37.5,34.25,19.0,18.2,5.86,5.5,9.5,2.75,38.9
Safflower,11.56,99.58,113.14,91.0,99.44,57.14,13.38,16.16,51.18,29.56,22.35,67.44,37.71
Nagali,24.75,27.0,25.5,68.0,117.0,114.0,57.33,123.5,79.33,118.0,70.5,74.0,37.13
Matki,150.83,120.76,73.43,106.16,139.32,142.65,118.11,99.56,161.33,218.29,137.11,159.56,36.84
Nachani,40.5,26.5,34.0,47.0,118.0,58.5,76.0,105.5,82.0,129.0,101.0,57.5,34.32
Awala,52.75,37.0,0.0,0.0,0.0,0.0,18.0,0.0,14.67,61.0,77.0,88.67,33.09
Amla,37.0,16.0,2.0,0.0,0.0,0.0,0.0,0.0,9.33,57.2,61.8,91.5,31.46
Tuljapuri,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103.0,0.0,0.0,0.0,29.73
Sesamum,30.97,22.58,73.77,11.89,91.7,84.07,63.41,15.06,20.33,26.25,22.04,21.61,29.13
Horse Gram,78.06,25.39,44.64,19.79,18.18,22.06,69.22,66.4,60.25,28.53,7.09,97.5,28.76
Skin & Bones,0.0,0.0,0.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.42
Bhagar/Vari,35.4,23.0,56.0,0.0,1.0,53.0,94.0,70.0,55.0,36.33,30.67,32.33,27.06
Wood Apple,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,34.0,11.0,92.0,27.03
Shepa,21.5,38.0,9.0,14.0,0.0,0.0,0.0,0.0,0.0,1.0,92.0,3.5,26.95
Indian Bean,4.0,43.5,98.44,23.17,5.75,8.0,10.0,6.67,14.4,31.67,13.75,7.33,26.81
Mint,122.0,109.33,101.17,141.17,151.6,162.4,117.0,137.83,108.12,102.0,182.56,122.17,25.72
Ambat Chuka,4.0,7.0,11.0,23.0,20.5,61.0,31.0,66.2,14.25,46.0,26.0,14.5,20.52
Jack Fruit(Raw),0.0,25.5,23.0,38.33,33.67,47.0,0.0,0.0,0.0,0.0,0.0,0.0,18.22
Hilda,0.0,0.0,0.0,34.0,34.0,37.0,3.0,0.0,0.0,0.0,0.0,0.0,15.72
Linseed,18.4,50.58,32.06,39.43,36.29,42.0,16.89,17.0,32.17,27.86,11.0,8.71,13.27
Other Oil Seeds,0.0,0.0,10.0,2.0,34.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,11.54
Kand,15.0,26.67,23.75,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.84
Pigenpea (Bhaji),7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,3.0,33.5,17.0,10.61
Shewanti,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,3.0,0.0,12.0,9.08
Castor Seed,2.56,3.0,17.5,13.57,11.46,16.97,19.93,7.0,8.87,26.31,2.4,10.5,7.53
Aster,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,15.0,5.79
Ghee,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,5.77
Pappaya (Bhaji),0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,3.9
Kagda,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,3.0,3.9
Bullock Heart,0.0,0.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,3.46
Groundnut Pods (Wet),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,2.6
He Buffalo,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.59
Rala,2.5,0.0,0.0,1.0,0.0,0.0,0.0,5.0,1.0,8.0,2.5,1.0,2.48
Chandani,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,2.34
Tag,1.0,0.0,1.0,1.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,2.23
Plum,0.0,0.0,0.0,0.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,1.61
Peer,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,1.61
Karvand,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,2.0,0.0,0.0,1.54
Kalvad,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.17
Terda,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.15
Soup Berries,0.0,0.0,1.0,1.5,3.5,2.0,0.0,0.0,1.5,0.0,0.0,0.0,1.14
Jui,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.87
Papnas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.87
Baru Seed,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.58
Other Spices,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.29
